stock_actual_id,producto_id,deposito_id,lote_calidad_id,quantity,stock_value,unit_value
STK_00001,PROD_0001,DEP_0002,QLT_00005,223.12,13637.099999999997,61.12
STK_00002,PROD_0001,DEP_0002,QLT_00009,116.82,7213.639999999999,61.75
STK_00003,PROD_0001,DEP_0002,QLT_00014,549.0099999999999,26083.46999999999,47.51
STK_00004,PROD_0001,DEP_0002,QLT_00017,159.73999999999995,9017.320000000002,56.45
STK_00005,PROD_0001,DEP_0002,QLT_00022,186.38000000000005,10051.47,53.93
STK_00006,PROD_0001,DEP_0003,QLT_00015,156.04999999999995,8407.979999999996,53.88
STK_00007,PROD_0001,DEP_0003,QLT_00018,198.40999999999997,9620.899999999994,48.49
STK_00008,PROD_0001,DEP_0003,QLT_00024,228.23,12988.570000000002,56.91
STK_00009,PROD_0002,DEP_0002,QLT_00007,150.97000000000003,12180.259999999997,80.68
STK_00010,PROD_0002,DEP_0002,QLT_00008,103.59999999999997,11498.559999999998,110.99
STK_00011,PROD_0002,DEP_0002,QLT_00010,35.629999999999995,3406.229999999996,95.6001
STK_00012,PROD_0002,DEP_0002,QLT_00011,63.74000000000001,6106.289999999999,95.8
STK_00013,PROD_0002,DEP_0002,QLT_00019,181.13,13885.419999999998,76.66
STK_00014,PROD_0002,DEP_0002,QLT_00020,37.629999999999995,3816.060000000005,101.41
STK_00015,PROD_0002,DEP_0002,QLT_00023,53.620000000000005,4937.870000000003,92.0901
STK_00016,PROD_0002,DEP_0003,QLT_00001,115.44,10027.12,86.86
STK_00017,PROD_0002,DEP_0003,QLT_00003,31.41999999999996,2856.7000000000007,90.9198
STK_00018,PROD_0002,DEP_0003,QLT_00004,49.21000000000003,5243.330000000002,106.5501
STK_00019,PROD_0002,DEP_0003,QLT_00012,100.49,10001.77,99.53
STK_00020,PROD_0002,DEP_0003,QLT_00013,79.30999999999995,6137.799999999996,77.39
STK_00021,PROD_0003,DEP_0002,QLT_00002,112.2,9281.189999999997,82.7201
STK_00022,PROD_0003,DEP_0002,QLT_00021,194.95000000000005,16011.239999999998,82.13
STK_00023,PROD_0003,DEP_0003,QLT_00006,73.93999999999994,7350.379999999997,99.4101
STK_00024,PROD_0003,DEP_0003,QLT_00016,167.25,13461.950000000004,80.49
STK_00025,PROD_0004,DEP_0001,,1135.94,5819.299999999997,5.1229
STK_00026,PROD_0005,DEP_0001,,6655.27,8538.970000000005,1.283
STK_00027,PROD_0006,DEP_0001,,6748.299999999999,4737.009999999998,0.702
STK_00028,PROD_0007,DEP_0001,,20380.770000000004,13050.800000000005,0.6403
STK_00029,PROD_0008,DEP_0001,,13701.37,10537.509999999998,0.7691
STK_00030,PROD_0009,DEP_0001,,399.7900000000002,2628.32,6.5743
STK_00031,PROD_0010,DEP_0001,,51.06,948.4500000000004,18.5752
STK_00032,PROD_0011,DEP_0001,,17.53,383.37999999999965,21.8699
STK_00033,PROD_0012,DEP_0001,,95590.45,114223.9,1.1949
STK_00034,PROD_0013,DEP_0004,,33.55000000000002,635.63,18.9458
STK_00035,PROD_0014,DEP_0004,,68.91,2807.33,40.7391
STK_00036,PROD_0015,DEP_0004,,52.08,1153.0,22.139
